index,importance
fire_200_400,0.26080852218636724
fire_400_800,0.14593785795603129
fire_100_200,0.0948012067392713
wind_S,0.09440398190004455
Humidity(%),0.06960877744272509
fire_800_1000,0.05223229689807273
wind_N,0.04992230255916549
fire_0_100,0.03969666192432761
Temperature(C),0.03424197427654822
Wind_Speed(kmph),0.02613484878507156
month_11,0.014075269686622746
wind_E,0.01285458870233009
wind_W,0.010406336411323712
month_12,0.010060655440587554
"time_of_day_[18, 20)",0.00991921281463114
wind_CALM,0.00991711682063639
"time_of_day_[10, 12)",0.009720266307608158
"time_of_day_[20, 22)",0.007387423542526685
"time_of_day_[12, 14)",0.006721450878831111
month_4,0.006448471411613074
"time_of_day_[8, 10)",0.004373160127245086
"time_of_day_[4, 6)",0.003229953045020446
"time_of_day_[2, 4)",0.003060784148041019
"time_of_day_[6, 8)",0.002697266287531931
"time_of_day_[16, 18)",0.002414188406549214
"time_of_day_[14, 16)",0.0022339603851785545
is_weekend,0.002135414167040335
month_10,0.002107933143041102
"time_of_day_[22, 24)",0.002069026958758609
month_1,0.0019084732522217512
"time_of_day_[0, 2)",0.0017402759972270526
month_5,0.0017293827985493376
month_3,0.0014055517552835602
is_holiday,0.0013609118477770595
month_2,0.001263787415809096
month_9,0.00041712690608058787
month_7,0.00020944077670835077
month_8,0.0001927799804525817
month_6,0.00015135991714854924
