index,importance
Humidity(%)_lag_1,0.05771187355931868
fire_100_200_lag_1,0.05750995593941362
fire_100_200,0.056147211786204236
Humidity(%),0.05351553925179117
Temperature(C)_lag_1,0.051389361241630814
fire_0_100_lag_1,0.04868707062458429
fire_0_100,0.048312443998730095
Temperature(C),0.044769640089166556
month_12_lag_1,0.04109847916284463
month_12,0.04024959311771841
month_1,0.03083290498725628
fire_200_400,0.03081559781511621
fire_200_400_lag_1,0.02836138655797255
month_1_lag_1,0.02694957843575454
day_of_week,0.02417495554785624
day_of_week_lag_1,0.02324494165474159
"time_of_day_[15, 18)_lag_1",0.019940347445754233
"time_of_day_[15, 18)",0.017873860160841918
Wind_Speed(kmph)_lag_1,0.01475770795599976
Wind_Speed(kmph),0.014657515777674287
month_7,0.012926344088048802
month_7_lag_1,0.012722389349869337
"time_of_day_[18, 21)",0.010892950150936368
"time_of_day_[0, 3)_lag_1",0.010614947260251707
"time_of_day_[0, 3)",0.009213395000108997
"time_of_day_[12, 15)_lag_1",0.008587201641785837
"time_of_day_[18, 21)_lag_1",0.008286538299720298
month_2,0.00818227585216704
fire_400_600_lag_1,0.008013372077477857
month_2_lag_1,0.0076839802149937415
fire_400_600,0.007329413077603093
"time_of_day_[3, 6)",0.007276721984079134
month_11_lag_1,0.007226465558066663
month_11,0.007062575452696104
"time_of_day_[6, 9)",0.007047719353979665
is_weekend_lag_1,0.006168702588273572
is_weekend,0.006038313229437064
"time_of_day_[3, 6)_lag_1",0.00553755707850213
month_3_lag_1,0.00543185442642707
"time_of_day_[21, 24)_lag_1",0.005330891767004593
"time_of_day_[12, 15)",0.005317202908815211
wind_S,0.004853655121915682
"time_of_day_[6, 9)_lag_1",0.004765932691314185
wind_S_lag_1,0.004740703667657172
wind_N_lag_1,0.004625918807895463
"time_of_day_[21, 24)",0.004542724611504253
"time_of_day_[9, 12)_lag_1",0.004511855072316087
month_4_lag_1,0.004499102525776893
month_10_lag_1,0.004494262877139484
month_10,0.004468736978536963
month_6,0.004452430984538989
month_3,0.004414684908135358
wind_N,0.004296892056850845
is_holiday,0.0042606838411884795
wind_W_lag_1,0.004250108037451977
month_6_lag_1,0.004164052312718313
month_4,0.004157031246639325
wind_CALM,0.0040122686233846116
wind_W,0.004004611447840701
wind_CALM_lag_1,0.003945014075432855
is_holiday_lag_1,0.0038915571674733207
"time_of_day_[9, 12)",0.00323162883373936
month_9_lag_1,0.002719433690509324
month_9,0.00266492603601968
month_8,0.002304509989828355
month_8_lag_1,0.0021513788387747756
fire_600_650,0.0008708368250890747
fire_600_650_lag_1,0.0008142822597140747
