index,importance
Temperature(C),0.1939161077754071
Humidity(%),0.13478491213823154
time_of_day,0.11142883806272395
fire_100_200,0.0932998176347912
Wind_Speed(kmph),0.07165518455901715
fire_0_100,0.061242648500977395
fire_200_400,0.05724820909828614
day_of_week,0.05232891225860135
wind_CALM,0.04130670006940181
wind_S,0.03964331548413825
wind_W,0.03752581427645448
wind_N,0.0337961295775197
fire_400_600,0.02910621568605671
fire_600_800,0.01886928024618943
is_holiday,0.012619422267385369
fire_800_900,0.011228492364818507
