index,importance
fire_0_100,0.11727015275347087
Temperature(C),0.09052799308513754
Humidity(%),0.08498876789908942
wind_N,0.07647399093301227
month_7,0.07615815763538449
month_1,0.07156669205064155
month_6,0.06332514136480123
fire_200_400,0.060683003461328114
Wind_Speed(kmph),0.0552600840843353
month_5,0.0412891883076877
month_2,0.027895654503689242
"time_of_day_[15, 18)",0.02611651043022434
month_3,0.022587726309970475
wind_S,0.017458798136198696
fire_400_600,0.017008713335019143
fire_600_650,0.016351203860155906
month_8,0.016283903979797537
month_4,0.014580970246992255
day_of_week,0.0145435895811901
"time_of_day_[9, 12)",0.012177988938028341
wind_E,0.011203537927653178
month_10,0.008264583962856844
"time_of_day_[21, 24)",0.00823881109056851
month_11,0.008128278308599725
month_9,0.006979631812399042
is_weekend,0.006089058243905578
"time_of_day_[0, 3)",0.005921420575583895
"time_of_day_[12, 15)",0.005585698724625949
"time_of_day_[3, 6)",0.005336078456744388
is_holiday,0.004741903699870431
wind_CALM,0.002878646243859899
"time_of_day_[6, 9)",0.0020784904440830656
"time_of_day_[18, 21)",0.0020056296130949915
is_rain,0.0
