index,importance
fire_200_400,0.26149173359943784
fire_100_200,0.19444716433924905
fire_0_100,0.17135217066224648
fire_400_500,0.13545436243756642
month_3,0.06942864558300205
Humidity(%),0.027458811961501708
Wind_Speed(kmph),0.020137032138053877
month_2,0.019149361186667012
Temperature(C),0.018307791337274237
month_4,0.008309323801324715
month_8,0.007843684773890393
month_6,0.006714335372458349
month_5,0.006244927841228136
wind_E,0.005587016301359476
day_of_week,0.004983507010031868
month_1,0.00434920299785514
wind_S,0.004227271276663019
month_7,0.0038414293503454405
month_12,0.0033468238271876466
"time_of_day_[12, 14)",0.002950975976971573
wind_N,0.0026986380980230265
"time_of_day_[6, 8)",0.0026485300571475272
wind_W,0.002500086249074161
"time_of_day_[14, 16)",0.002026917677838483
"time_of_day_[18, 20)",0.0019215658804285361
is_weekend,0.0017389857543372122
"time_of_day_[10, 12)",0.0017171837661456046
"time_of_day_[4, 6)",0.0015413951741915578
"time_of_day_[2, 4)",0.0014416517229838373
"time_of_day_[8, 10)",0.0014125514760250076
"time_of_day_[16, 18)",0.0011728695048104868
is_holiday,0.001168990878453033
"time_of_day_[20, 22)",0.0011427422565207213
"time_of_day_[0, 2)",0.0006904153959395814
"time_of_day_[22, 24)",0.00055190433376671
