index,importance
fire_200_400,0.11442547882764782
fire_100_200,0.10659129040682808
fire_400_800,0.09742160851667607
wind_N,0.09387669419970003
Temperature(C),0.08631483720502903
fire_800_1000,0.07012139617367634
wind_S,0.06788883293550366
fire_0_100,0.06261785777267317
Humidity(%),0.03940915337413221
wind_W,0.037169401087588025
Wind_Speed(kmph),0.03465675140845534
wind_E,0.02262819060208372
month_1,0.020323993176987395
day_of_week,0.016579368247272273
month_12,0.012588956236975092
wind_CALM,0.010552991170768808
"time_of_day_[8, 10)",0.010130658466372552
"time_of_day_[18, 20)",0.009947722221838772
month_11,0.009192576544588141
"time_of_day_[20, 22)",0.007432685623847423
"time_of_day_[6, 8)",0.007380903420486745
"time_of_day_[16, 18)",0.007049513970224487
is_weekend,0.006709879753677089
month_10,0.006602745358953043
is_rain,0.006456553589144094
month_9,0.004477395237312281
"time_of_day_[14, 16)",0.004418000179848884
is_holiday,0.00439624586521659
"time_of_day_[12, 14)",0.0036001031107236433
month_4,0.0035791105990116623
"time_of_day_[0, 2)",0.0030536507811070113
"time_of_day_[4, 6)",0.0028580166961496437
month_8,0.0027993057115953484
month_7,0.0027045778245777504
"time_of_day_[2, 4)",0.0021871122327419986
month_3,0.0018564414705857758
