index,importance
fire_0_100,0.281872838040806
Humidity(%),0.16349119675024246
fire_100_200,0.12578846541451214
fire_200_400,0.08158532984803407
month_3,0.07024177853849745
fire_400_800,0.0612223336093901
fire_800_1000,0.046095976423415085
is_rain,0.0440950600813506
Wind_Speed(kmph),0.030460576664761936
Temperature(C),0.015621735133468227
month_4,0.01212868437357257
wind_E,0.00971498683538397
wind_W,0.007991494314042422
day_of_week,0.0066923338963573095
wind_S,0.0065969668726516845
wind_CALM,0.00657031984860174
month_5,0.0049134760109353845
wind_N,0.004705381291166458
month_2,0.004535608185267235
is_weekend,0.003884041599693354
month_6,0.002009783572821656
"time_of_day_[12, 14)",0.0015642735094171189
is_holiday,0.0013143387403744945
"time_of_day_[22, 24)",0.0011653838700711337
month_8,0.0010601787052127896
"time_of_day_[20, 22)",0.0008769826358561024
"time_of_day_[10, 12)",0.0007139567256075796
month_9,0.000520085309155725
"time_of_day_[2, 4)",0.0005164908366199918
month_1,0.00038047872657843653
"time_of_day_[8, 10)",0.0003746169389809918
"time_of_day_[4, 6)",0.000325947185277014
month_12,0.0003017238549158299
"time_of_day_[6, 8)",0.0002901179294762038
month_7,0.0002421855499158071
month_11,9.778516594717752e-05
month_10,3.708701162177481e-05
