latitude,longitude,confidence,lat_km,long_km,distance,power,count,country,coor
13.2474,107.5954,66,1478,11977,1151.5576407631536,8.844000000000003,1,Vietnam,"(11977, 1478)"
13.2465,107.0065,83,1478,11912,1098.075589383536,26.62,1,Cambodia,"(11912, 1478)"
13.2399,106.0816,60,1477,11809,1016.7103815738284,4.9,1,Cambodia,"(11809, 1477)"
13.2372,107.005,66,1477,11912,1098.6578175209968,8.58,1,Cambodia,"(11912, 1477)"
13.2876,107.1517,59,1483,11928,1108.2585438425458,6.820000000000001,1,Cambodia,"(11928, 1483)"
13.214,106.971,32,1474,11908,1097.164527315753,5.83,1,Cambodia,"(11908, 1474)"
13.2048,106.9695,74,1473,11908,1097.7508824865504,14.41,1,Cambodia,"(11908, 1473)"
13.248,106.9966,86,1478,11911,1097.2625027767967,34.1,1,Cambodia,"(11911, 1478)"
13.3076,107.6756,83,1485,11986,1155.2112360949404,29.964000000000002,1,Vietnam,"(11986, 1485)"
13.5903,103.9453,56,1517,11571,815.2938120702254,6.2,1,Cambodia,"(11571, 1517)"
13.3606,107.7994,50,1491,12000,1163.7168899693775,13.332,1,Vietnam,"(12000, 1491)"
13.5362,104.064,56,1511,11584,828.5294201173548,5.5,1,Cambodia,"(11584, 1511)"
13.6837,101.4044,62,1528,11288,647.5198838645806,15.12,1,Thailand,"(11288, 1528)"
13.7342,104.3559,66,1534,11617,835.1604636236079,7.3,1,Cambodia,"(11617, 1534)"
13.7731,102.7764,57,1538,11441,716.4670264569054,11.22,1,Cambodia,"(11441, 1538)"
13.9186,106.1065,50,1555,11812,971.9531881731754,7.4,1,Cambodia,"(11812, 1555)"
13.9603,104.2574,62,1559,11606,809.8969070196528,6.9,1,Cambodia,"(11606, 1559)"
13.9616,104.2479,82,1560,11605,808.4831476289412,23.5,1,Cambodia,"(11605, 1560)"
14.0334,106.0172,65,1568,11802,956.2897050580436,6.7,1,Laos,"(11802, 1568)"
14.164000000000001,104.1797,84,1583,11597,786.9180389341701,24.7,1,Cambodia,"(11597, 1583)"
14.3557,103.4628,72,1604,11517,714.9636354388942,14.630000000000004,1,Cambodia,"(11517, 1604)"
13.3513,105.211,71,1490,11712,934.5469490614156,9.1,1,Cambodia,"(11712, 1490)"
13.1738,107.1067,39,1470,11923,1111.6766616242332,10.01,1,Cambodia,"(11923, 1470)"
13.1684,107.0998,71,1469,11922,1111.4463549807522,10.78,1,Cambodia,"(11922, 1469)"
13.1591,107.0983,81,1468,11922,1112.029675863014,22.44,1,Cambodia,"(11922, 1468)"
13.1669,107.1098,73,1469,11923,1112.2589626521337,13.31,1,Cambodia,"(11923, 1469)"
11.1228,106.60600000000001,22,1238,11867,1221.3701322694935,5.61,1,Vietnam,"(11867, 1238)"
12.1119,102.7534,81,1349,11438,874.8628463936502,25.773000000000003,1,Cambodia,"(11438, 1349)"
12.1134,102.7431,68,1350,11437,873.5061533841647,10.769000000000002,1,Cambodia,"(11437, 1350)"
12.2123,102.76299999999999,90,1361,11440,865.3190163171038,51.66700000000001,1,Cambodia,"(11440, 1361)"
12.2108,102.7736,80,1361,11441,865.8059828853113,26.13600000000001,1,Cambodia,"(11441, 1361)"
12.2896,105.53200000000001,58,1370,11748,1043.7672154268882,5.7,1,Cambodia,"(11748, 1370)"
12.2937,106.4802,69,1370,11853,1119.627170088329,10.56,1,Cambodia,"(11853, 1370)"
12.3811,107.1089,49,1380,11923,1166.3554346767544,7.0180000000000025,1,Cambodia,"(11923, 1380)"
12.7528,106.4943,65,1422,11855,1087.1619014663822,6.6000000000000005,1,Cambodia,"(11855, 1422)"
12.762,106.4957,64,1423,11855,1086.5228943745274,6.6000000000000005,1,Cambodia,"(11855, 1423)"
12.3827,107.0988,54,1380,11922,1165.58054204761,7.139000000000001,1,Cambodia,"(11922, 1380)"
13.0354,106.334,95,1454,11837,1052.9449178375858,50.6,1,Cambodia,"(11837, 1454)"
13.1266,107.1855,82,1465,11932,1121.9059675391695,26.62,1,Cambodia,"(11932, 1465)"
13.1281,107.1754,85,1465,11931,1121.0923244764456,33.11000000000001,1,Cambodia,"(11931, 1465)"
12.9554,106.7317,70,1445,11881,1092.9903933704084,11.0,1,Cambodia,"(11881, 1445)"
13.0978,106.4076,66,1461,11845,1054.8042472421128,6.2,1,Cambodia,"(11845, 1461)"
13.0689,107.1866,74,1458,11932,1125.9884546477374,16.61,1,Cambodia,"(11932, 1458)"
13.1203,107.1639,62,1464,11929,1120.048659657249,7.370000000000001,1,Cambodia,"(11929, 1464)"
13.0474,106.3166,72,1456,11835,1050.131896477771,8.2,1,Cambodia,"(11835, 1456)"
13.043,106.3448,80,1455,11838,1053.0930633139694,13.6,1,Cambodia,"(11838, 1455)"
13.0325,106.3528,72,1454,11839,1054.4994073018722,7.6,1,Cambodia,"(11839, 1454)"
13.034,106.3434,100,1454,11838,1053.721974716291,107.6,1,Cambodia,"(11838, 1454)"
13.0705,107.1765,76,1458,11931,1125.1777637333578,18.81,1,Cambodia,"(11931, 1458)"
10.3646,105.3352,61,1152,11726,1196.2750519842834,5.0,1,Vietnam,"(11726, 1152)"
10.8589,105.074,51,1208,11697,1134.0039682470247,9.108,1,Vietnam,"(11697, 1208)"
11.0437,103.9328,65,1229,11570,1045.0574146906954,15.62,1,Cambodia,"(11570, 1229)"
11.0383,103.9393,69,1228,11570,1045.907261663289,25.08,1,Cambodia,"(11570, 1228)"
11.0369,103.9298,91,1228,11569,1045.3807918648592,73.81,1,Cambodia,"(11569, 1228)"
10.7124,105.27600000000001,50,1192,11719,1160.010775812018,14.256000000000002,1,Vietnam,"(11719, 1192)"
10.3758,105.2794,62,1154,11720,1191.1213204371752,10.692,1,Vietnam,"(11720, 1154)"
10.6602,105.2661,59,1186,11718,1164.2001546125996,17.688000000000006,1,Vietnam,"(11718, 1186)"
10.5389,103.6613,73,1172,11540,1079.10425816971,14.0,1,Cambodia,"(11540, 1172)"
10.3702,104.9202,45,1153,11680,1168.8528564366004,6.336,1,Vietnam,"(11680, 1153)"
10.3324,105.3307,59,1149,11725,1198.1068399771366,13.464,1,Vietnam,"(11725, 1149)"
10.2659,105.289,68,1141,11721,1202.2395767899175,14.124,1,Vietnam,"(11721, 1141)"
10.6617,105.2772,51,1186,11719,1164.8008413458501,15.312,1,Vietnam,"(11719, 1186)"
13.1591,99.8137,69,1468,11111,655.4883675550619,8.14,1,Thailand,"(11111, 1468)"
13.16,107.4244,57,1468,11958,1141.4560876354374,62.49099999999999,1,Cambodia,"(11958, 1468)"
13.1559,107.4305,25,1468,11959,1142.2788626250594,71.383,1,Cambodia,"(11959, 1468)"
13.1583,107.5127,47,1468,11968,1149.6964816854925,48.678,1,Cambodia,"(11968, 1468)"
13.2367,107.0025,43,1477,11911,1097.8451621244228,21.762000000000004,1,Cambodia,"(11911, 1477)"
13.3304,107.8695,69,1488,12008,1172.0759361065307,69.972,1,Vietnam,"(12008, 1488)"
13.502,102.6175,71,1507,11423,731.6529231814767,10.2,1,Cambodia,"(11423, 1507)"
13.5467,102.6043,45,1512,11422,726.9346600623745,6.9,1,Cambodia,"(11422, 1512)"
13.548,102.6137,75,1512,11423,727.4895188248419,12.5,1,Cambodia,"(11423, 1512)"
13.8726,106.1482,77,1549,11816,978.6894297988507,56.256,1,Cambodia,"(11816, 1549)"
13.612,100.8766,59,1520,11230,633.1903347335618,6.0,1,Thailand,"(11230, 1520)"
13.9619,104.245,83,1560,11605,808.4831476289412,38.01600000000001,1,Cambodia,"(11605, 1560)"
14.0088,103.6246,61,1565,11535,755.618951588696,8.91,1,Cambodia,"(11535, 1565)"
14.005999999999998,104.4288,44,1565,11625,819.7194642071154,10.428,1,Cambodia,"(11625, 1565)"
14.0581,104.3595,63,1571,11617,809.7653981246667,10.692,1,Cambodia,"(11617, 1571)"
14.3014,104.5878,47,1598,11643,811.6261454635379,10.164,1,Cambodia,"(11643, 1598)"
14.5035,100.7996,72,1621,11221,535.5557860764834,8.1,1,Thailand,"(11221, 1621)"
15.0192,106.7399,67,1680,11882,967.3355157338119,50.31000000000001,1,Laos,"(11882, 1680)"
13.1526,107.5013,70,1467,11967,1149.4363836246007,66.196,1,Cambodia,"(11967, 1467)"
13.5963,105.4228,66,1518,11736,934.285823503707,18.648,1,Cambodia,"(11736, 1518)"
13.1064,107.5245,58,1462,11970,1154.7406635257978,67.83,1,Vietnam,"(11970, 1462)"
12.2886,106.4703,71,1369,11852,1119.550356169833,32.832,1,Cambodia,"(11852, 1369)"
13.1018,104.6061,67,1462,11645,906.0358712545546,13.068,1,Cambodia,"(11645, 1462)"
13.1089,105.0517,42,1462,11694,940.5583448143981,8.437000000000001,1,Cambodia,"(11694, 1462)"
11.4656,99.5894,81,1276,11086,843.6646253103185,27.324,1,Thailand,"(11086, 1276)"
11.4673,99.6,83,1277,11087,842.7478863812119,50.42400000000001,1,Thailand,"(11087, 1277)"
12.0971,106.0456,61,1348,11805,1099.6167514184203,15.287999999999998,1,Cambodia,"(11805, 1348)"
12.2066,102.7622,82,1360,11439,865.7072253366031,20.2,1,Cambodia,"(11439, 1360)"
12.2079,102.7714,38,1360,11440,866.1928191805795,6.4,1,Cambodia,"(11440, 1360)"
12.2844,105.5245,62,1369,11747,1043.7854185607307,14.3,1,Cambodia,"(11747, 1369)"
11.286,103.5459,62,1256,11527,999.6924527073314,7.2,1,Cambodia,"(11527, 1256)"
12.2891,106.4646,48,1370,11852,1118.8824781897338,24.576,1,Cambodia,"(11852, 1370)"
12.1972,103.2834,39,1359,11497,896.1294549338281,8.3,1,Cambodia,"(11497, 1359)"
12.7212,106.1979,83,1418,11822,1064.6173021325549,71.82,1,Cambodia,"(11822, 1418)"
12.7244,106.1907,76,1419,11821,1063.206471011158,45.9,1,Cambodia,"(11821, 1419)"
12.7261,106.2044,72,1419,11823,1064.7159245545263,36.18,1,Cambodia,"(11823, 1419)"
13.0628,107.1691,35,1457,11930,1124.953776828186,47.26800000000001,1,Cambodia,"(11930, 1457)"
13.0653,104.5552,63,1458,11639,904.8099247908368,9.636000000000001,1,Cambodia,"(11639, 1458)"
13.0726,107.1513,33,1458,11928,1122.7475228206918,49.608000000000004,1,Cambodia,"(11928, 1458)"
13.0746,107.1677,83,1459,11930,1123.7815624043672,177.372,1,Cambodia,"(11930, 1459)"
13.0767,107.1841,51,1459,11932,1125.4034832005811,61.07400000000001,1,Cambodia,"(11932, 1459)"
13.1015,99.6882,52,1462,11097,659.6279254246291,13.189000000000002,1,Thailand,"(11097, 1462)"
12.3761,103.6453,68,1379,11538,902.2222564313076,10.89,1,Cambodia,"(11538, 1379)"
17.1411,98.3154,63,1925,10944,206.1286006356226,12.276000000000002,1,Thailand,"(10944, 1925)"
17.1188,100.0359,40,1922,11136,227.40712389896672,3.6,1,Thailand,"(11136, 1922)"
17.0904,100.0267,32,1919,11135,229.47766775876042,3.5,1,Thailand,"(11135, 1919)"
17.0796,96.7429,68,1918,10769,319.53247096343745,19.62,1,Myanmar,"(10769, 1918)"
16.9582,98.5426,32,1904,10970,218.56349191939628,6.732,1,Thailand,"(10970, 1904)"
16.7854,100.399,58,1884,11176,280.95907175245287,7.0,1,Thailand,"(11176, 1884)"
16.9472,95.4754,57,1902,10628,446.21295364433337,35.80200000000001,1,Myanmar,"(10628, 1902)"
16.9256,100.5362,48,1900,11192,277.5211703636319,5.8,1,Thailand,"(11192, 1900)"
16.8673,100.3322,62,1893,11169,269.5848660440716,7.7,1,Thailand,"(11169, 1893)"
16.9501,100.0172,70,1903,11134,242.94237999986743,8.1,1,Thailand,"(11134, 1903)"
17.1502,100.8781,46,1926,11230,284.60850303530987,8.8,1,Thailand,"(11230, 1926)"
17.314,96.6462,47,1945,10759,311.7434842943794,18.72,1,Myanmar,"(10759, 1945)"
17.186,100.054,58,1930,11138,221.6528817768901,6.3,1,Thailand,"(11138, 1930)"
17.2296,98.295,37,1935,10942,197.61831898890347,7.6560000000000015,1,Thailand,"(10942, 1935)"
17.2418,96.6734,71,1936,10762,314.34057962662087,23.04,1,Myanmar,"(10762, 1936)"
17.2427,96.8453,67,1936,10781,299.00668888839266,17.136,1,Myanmar,"(10781, 1936)"
