x,y
11418926.400324948,2116517.977267514
11418137.091696257,2141634.1850792393
11415772.28085074,2166651.2706932356
11411841.300616425,2191470.503101804
11406359.6647764,2215993.9321334558
11399349.00684301,2240124.775017493
11390836.994680248,2263767.798341385
11380857.221311357,2286829.693893543
11369449.072342493,2309219.4469082
11356657.570525754,2330848.695259113
11342533.198074928,2351632.078184503
11327131.697435264,2371487.5731669897
11310513.851293514,2390336.8196389894
11292745.242696423,2408105.4282360785
11273895.996224424,2424723.27437783
11254040.501241937,2440124.775017493
11233257.118316546,2454249.14746832
11211627.869965633,2467040.6492850594
11189238.116950978,2478448.798253922
11166176.22139882,2488428.5716228145
11142533.198074928,2496940.5837855753
11118402.35519089,2503951.2417189665
11093878.926159238,2509432.8775589895
11069059.69375067,2513363.857793305
11044042.608136673,2515728.6686388226
11018926.400324948,2516517.977267514
10993810.192513222,2515728.6686388226
10968793.106899226,2513363.857793305
10943973.874490658,2509432.8775589895
10919450.445459006,2503951.2417189665
10895319.602574969,2496940.5837855753
10871676.579251077,2488428.5716228145
10848614.683698919,2478448.798253922
10826224.930684261,2467040.6492850594
10804595.68233335,2454249.14746832
10783812.299407959,2440124.775017493
10763956.804425472,2424723.27437783
10745107.557953473,2408105.4282360785
10727338.949356383,2390336.8196389894
10710721.103214633,2371487.5731669897
10695319.602574969,2351632.078184503
10681195.230124142,2330848.695259113
10668403.728307404,2309219.4469082
10656995.57933854,2286829.693893543
10647015.805969648,2263767.798341385
10638503.793806886,2240124.775017493
10631493.135873497,2215993.9321334558
10626011.500033472,2191470.503101804
10622080.519799156,2166651.2706932356
10619715.70895364,2141634.1850792393
10618926.400324948,2116517.977267514
10619715.70895364,2091401.7694557887
10622080.519799156,2066384.6838417922
10626011.500033472,2041565.4514332241
10631493.135873497,2017042.022401572
10638503.793806886,1992911.1795175348
10647015.805969648,1969268.1561936426
10656995.57933854,1946206.260641485
10668403.728307404,1923816.5076268278
10681195.230124142,1902187.2592759153
10695319.602574969,1881403.8763505246
10710721.103214633,1861548.381368038
10727338.949356383,1842699.1348960386
10745107.557953473,1824930.5262989495
10763956.804425472,1808312.680157198
10783812.299407959,1792911.179517535
10804595.68233335,1778786.8070667079
10826224.930684263,1765995.3052499685
10848614.683698919,1754587.1562811062
10871676.579251077,1744607.3829122134
10895319.602574969,1736095.3707494526
10919450.445459006,1729084.7128160615
10943973.874490658,1723603.0769760385
10968793.106899226,1719672.096741723
10993810.192513224,1717307.2858962053
11018926.400324948,1716517.977267514
11044042.608136674,1717307.2858962053
11069059.69375067,1719672.096741723
11093878.926159238,1723603.0769760385
11118402.35519089,1729084.7128160615
11142533.198074928,1736095.3707494526
11166176.22139882,1744607.3829122134
11189238.116950978,1754587.1562811062
11211627.869965635,1765995.3052499685
11233257.118316546,1778786.8070667079
11254040.501241937,1792911.1795175353
11273895.996224424,1808312.6801571983
11292745.242696423,1824930.5262989495
11310513.851293514,1842699.1348960386
11327131.697435264,1861548.3813680382
11342533.198074928,1881403.8763505248
11356657.570525754,1902187.2592759156
11369449.072342493,1923816.5076268278
11380857.221311357,1946206.260641485
11390836.994680248,1969268.1561936429
11399349.00684301,1992911.1795175353
11406359.6647764,2017042.0224015722
11411841.300616425,2041565.4514332241
11415772.28085074,2066384.6838417924
11418137.091696257,2091401.7694557887
11418926.400324948,2116517.9772675144
