index,importance
fire_800_1000,0.16172336116243805
fire_200_400,0.12430628335518197
wind_CALM,0.12158233156411326
fire_0_100,0.10681906717368839
fire_400_800,0.08367639296109172
Wind_Speed(kmph),0.08020530771306728
Humidity(%),0.06499084014029269
fire_100_200,0.0464668687847981
Temperature(C),0.029142934407985346
"time_of_day_[18, 20)",0.023836867804181712
"time_of_day_[10, 12)",0.02027225690071871
wind_N,0.018108432098416567
day_of_week,0.016326238884444483
"time_of_day_[2, 4)",0.015051164489442125
"time_of_day_[20, 22)",0.014242306669627471
wind_S,0.012633304868268136
"time_of_day_[12, 14)",0.010915739994693332
"time_of_day_[4, 6)",0.009049397223109344
"time_of_day_[22, 24)",0.007960276382489959
is_weekend,0.007884381976384207
month_2,0.00732314449327433
"time_of_day_[6, 8)",0.00539878729947023
"time_of_day_[0, 2)",0.005059392057075554
is_holiday,0.0036190166998359137
"time_of_day_[14, 16)",0.0023215667296481173
is_rain,0.0010843381662629806
month_3,0.0
