index,importance
fire_100_200,0.16498404318170662
fire_200_400,0.14235291745430972
fire_0_100,0.13002382062042675
fire_400_800,0.10419201030018871
fire_800_1000,0.06676825413609472
Humidity(%),0.04322118977848524
Wind_Speed(kmph),0.0425980229508021
month_2,0.03774830653152031
is_rain,0.02669759731045885
wind_S,0.026620602277623057
wind_N,0.025701574890109748
Temperature(C),0.022818957129526293
wind_E,0.016394027041178705
day_of_week,0.014213660099986591
month_1,0.013011328927936834
wind_W,0.01260933568084958
wind_CALM,0.012061610236721108
"time_of_day_[18, 20)",0.010469584791118855
month_12,0.01004781638257401
"time_of_day_[8, 10)",0.006417785171158597
month_4,0.006333406589523738
"time_of_day_[20, 22)",0.00611584285644763
is_weekend,0.0060921453022326315
"time_of_day_[10, 12)",0.0059254207352477176
month_7,0.005859157986764671
"time_of_day_[16, 18)",0.005751479689487372
month_3,0.005378996064813874
month_11,0.004790318055275804
month_6,0.004748446929271
is_holiday,0.0037692862241043394
"time_of_day_[12, 14)",0.0035075834138812447
"time_of_day_[22, 24)",0.0024043124807922186
month_5,0.0021682412830511654
"time_of_day_[14, 16)",0.0021147087463395005
"time_of_day_[0, 2)",0.001855304596522069
month_8,0.001681967726175203
month_9,0.0014426838319799725
month_10,0.001108252595313555
