x,y
11138926.400324948,2116517.977267514
11138689.607736342,2124052.8396110316
11137980.164482685,2131557.9652952305
11136800.87041239,2139003.735017801
11135156.379660385,2146360.7637272966
11133053.182280367,2153600.0165925077
11130499.578631539,2160692.923589675
11127505.64662087,2167611.4922553226
11124083.201930212,2174328.41815972
11120245.75138519,2180817.1926649935
11116008.439649941,2187052.207542611
11111387.989458043,2193008.856037357
11106402.635615518,2198663.6299789567
11101072.05303639,2203994.2125580832
11095417.279094791,2208979.5664006085
11089460.630600045,2213600.0165925077
11083225.615722427,2217837.328327756
11076736.841217155,2221674.7788727777
11070019.915312758,2225097.2235634364
11063101.34664711,2228091.1555741043
11056008.439649941,2230644.7592229326
11048769.186784731,2232747.9566029496
11041412.158075236,2234392.4473549565
11033966.388352664,2235571.741425251
11026461.262668466,2236281.1846789066
11018926.400324948,2236517.977267514
11011391.53798143,2236281.1846789066
11003886.412297232,2235571.741425251
10996440.64257466,2234392.4473549565
10989083.613865165,2232747.9566029496
10981844.360999955,2230644.7592229326
10974751.454002786,2228091.1555741043
10967832.885337139,2225097.2235634364
10961115.959432742,2221674.7788727777
10954627.18492747,2217837.328327756
10948392.170049852,2213600.0165925077
10942435.521555105,2208979.5664006085
10936780.747613506,2203994.2125580832
10931450.165034378,2198663.6299789567
10926464.811191853,2193008.856037357
10921844.360999955,2187052.207542611
10917607.049264707,2180817.1926649935
10913769.598719684,2174328.41815972
10910347.154029027,2167611.4922553226
10907353.222018357,2160692.923589675
10904799.618369529,2153600.0165925077
10902696.420989512,2146360.7637272966
10901051.930237506,2139003.7350178007
10899872.636167211,2131557.9652952305
10899163.192913555,2124052.8396110316
10898926.400324948,2116517.977267514
10899163.192913555,2108983.1149239964
10899872.636167211,2101477.9892397975
10901051.930237506,2094032.219517227
10902696.420989512,2086675.1908077314
10904799.618369529,2079435.9379425202
10907353.222018357,2072343.0309453525
10910347.154029027,2065424.4622797053
10913769.598719684,2058707.5363753082
10917607.049264707,2052218.7618700343
10921844.360999955,2045983.7469924171
10926464.811191853,2040027.098497671
10931450.165034378,2034372.3245560713
10936780.747613506,2029041.7419769445
10942435.521555105,2024056.3881344192
10948392.170049852,2019435.9379425202
10954627.18492747,2015198.626207272
10961115.959432742,2011361.1756622503
10967832.885337139,2007938.7309715915
10974751.454002786,2004944.798960924
10981844.360999955,2002391.1953120956
10989083.613865165,2000287.9979320783
10996440.64257466,1998643.5071800714
11003886.412297232,1997464.2131097766
11011391.53798143,1996754.7698561214
11018926.400324948,1996517.977267514
11026461.262668466,1996754.7698561214
11033966.388352664,1997464.2131097766
11041412.158075236,1998643.5071800714
11048769.186784731,2000287.9979320783
11056008.439649941,2002391.1953120956
11063101.34664711,2004944.798960924
11070019.915312758,2007938.7309715915
11076736.841217155,2011361.1756622503
11083225.615722427,2015198.6262072723
11089460.630600045,2019435.9379425202
11095417.279094791,2024056.3881344192
11101072.05303639,2029041.7419769445
11106402.635615518,2034372.3245560713
11111387.989458043,2040027.0984976713
11116008.439649941,2045983.7469924174
11120245.75138519,2052218.7618700345
11124083.201930212,2058707.5363753082
11127505.64662087,2065424.4622797053
11130499.578631539,2072343.0309453527
11133053.182280367,2079435.9379425202
11135156.379660385,2086675.1908077314
11136800.87041239,2094032.219517227
11137980.164482685,2101477.9892397975
11138689.607736342,2108983.1149239964
11138926.400324948,2116517.977267514
