index,importance
fire_100_200,0.20692790736549832
fire_200_400,0.19256309149683543
fire_0_100,0.1564414728553024
fire_800_1000,0.11727287890620602
Temperature(C),0.09498848484233999
Humidity(%),0.08937185966310912
month_1,0.0627942640369721
Wind_Speed(kmph),0.0223353423522928
month_5,0.008617043397683821
"time_of_day_[10, 12)",0.006680188540064315
is_weekend,0.00658274182655413
"time_of_day_[8, 10)",0.004980598672508445
month_3,0.004261382743471948
wind_CALM,0.0037271200837647434
"time_of_day_[16, 18)",0.0031405604154245096
wind_N,0.0026422131055869186
is_holiday,0.0025479730479456546
wind_E,0.0024003670280328066
wind_W,0.0022002078081756827
wind_S,0.002131580539524156
month_12,0.0019204470080929302
"time_of_day_[14, 16)",0.0016708257127973154
month_4,0.001487544226314416
"time_of_day_[18, 20)",0.0011295908007740935
is_rain,0.00037528307195048975
"time_of_day_[20, 22)",0.0002811457281708982
"time_of_day_[6, 8)",0.00021707215733524145
"time_of_day_[4, 6)",0.0001391929398884157
"time_of_day_[2, 4)",0.00011498313971612453
"time_of_day_[0, 2)",5.6636487666917615e-05
month_8,0.0
month_10,0.0
month_7,0.0
