index,importance
fire_200_500,0.19856914982518364
fire_500_550,0.1932987071855804
Wind_Speed(kmph),0.06937664518031195
is_rain,0.06181555534381779
fire_100_200,0.06056135748954751
Temperature(C),0.05930009253537878
fire_0_100,0.05854315783750507
Humidity(%),0.057045597845884165
day_of_week,0.04159785994583469
time_of_day,0.033742740248191336
wind_N,0.03293018797353069
wind_W,0.0299886357435264
wind_S,0.029220456433579615
wind_E,0.02921470253418045
wind_CALM,0.025330868059460932
is_weekend,0.012013487382631586
is_holiday,0.0074507984358549665
