index,importance
fire_100_200,0.2147566772784142
fire_200_400,0.21316001263023934
fire_400_800,0.1260490173965794
fire_0_100,0.07741861377752249
Humidity(%),0.05969346181568378
fire_800_1000,0.054146935850183056
Temperature(C),0.051235562897323145
month_3,0.050097250060519606
Wind_Speed(kmph),0.023791433902095968
is_rain,0.012413707712202474
wind_E,0.010706578860292405
month_1,0.010259278906442102
month_4,0.008924537538115725
month_6,0.008793429621301025
is_weekend,0.008397922889648225
wind_S,0.007512468584167974
month_2,0.0074851986245366335
wind_N,0.006496174979845155
is_holiday,0.006027075044357743
"time_of_day_[18, 20)",0.005768678250150832
"time_of_day_[20, 22)",0.005596704568048269
month_7,0.005560079846821149
"time_of_day_[6, 8)",0.005454236178634155
"time_of_day_[22, 24)",0.003637774007090695
wind_W,0.0036013592975883846
"time_of_day_[0, 2)",0.0024293884914670092
"time_of_day_[12, 14)",0.0018564208339867513
"time_of_day_[14, 16)",0.0018174557143559723
"time_of_day_[10, 12)",0.0017650155253856664
"time_of_day_[16, 18)",0.001708668800248695
"time_of_day_[8, 10)",0.0016920214683104795
"time_of_day_[2, 4)",0.0013343009396869863
wind_CALM,0.0004125577087544448
month_9,0.0
month_8,0.0
month_12,0.0
month_11,0.0
month_10,0.0
