index,importance
wind_S,0.21973589748185854
Humidity(%),0.12649208287119965
wind_N,0.12513119909321493
Temperature(C),0.08682168881619375
fire_400_800,0.07846556762134635
Wind_Speed(kmph),0.07316273154215303
fire_100_200,0.054865367472525586
fire_200_400,0.035614146381589516
is_rain,0.030431053364702178
fire_800_900,0.024707810759332045
wind_W,0.022339642659537376
fire_0_100,0.018020158512223362
wind_E,0.016715952704269565
wind_CALM,0.014831803617736092
month_1,0.011588447123072622
"time_of_day_[18, 20)",0.010553550546557
"time_of_day_[10, 12)",0.0077631277751271585
"time_of_day_[8, 10)",0.007568105400029368
month_12,0.005396366806122143
"time_of_day_[20, 22)",0.004662747145954362
is_weekend,0.004245696113818252
"time_of_day_[16, 18)",0.0035867903446235353
"time_of_day_[12, 14)",0.003094693190602907
month_11,0.002582267581454995
is_holiday,0.0023350208443369044
"time_of_day_[6, 8)",0.002009105845700453
"time_of_day_[4, 6)",0.0019164796725473403
"time_of_day_[22, 24)",0.0016322857228436966
"time_of_day_[0, 2)",0.0014168451471213662
"time_of_day_[14, 16)",0.0010112495452891206
month_5,0.0007596102300385429
month_3,0.0003996375351579386
month_8,0.00014287053172042406
