index,importance
fire_200_400,0.18818082003772285
fire_800_850,0.1518305530354564
fire_0_100,0.14241141501301785
fire_100_200,0.1068517291092415
Humidity(%),0.08111180089724633
fire_400_800,0.07953593384609382
Temperature(C),0.02994063272269586
Wind_Speed(kmph),0.02444072890710702
is_rain,0.023092228677314856
"time_of_day_[12, 14)",0.020470272364656802
wind_W,0.01625657871510515
wind_CALM,0.014459069927968408
day_of_week,0.010740888283896691
month_4,0.009386532033995561
"time_of_day_[4, 6)",0.009183963694472986
"time_of_day_[6, 8)",0.009180048935123482
month_8,0.008460187034948503
wind_S,0.007676414577373617
"time_of_day_[10, 12)",0.0071567244875339235
month_5,0.006912160624511196
is_weekend,0.0054267524161197905
"time_of_day_[18, 20)",0.005399483517358129
"time_of_day_[22, 24)",0.005013115698983734
month_7,0.004899442143919962
month_2,0.004224213587376543
"time_of_day_[16, 18)",0.0038929115576023495
"time_of_day_[8, 10)",0.0037653907189175617
"time_of_day_[20, 22)",0.003621519072499065
"time_of_day_[2, 4)",0.0034542729686461884
month_1,0.0028688537294402766
"time_of_day_[14, 16)",0.00277824412280146
month_12,0.002619524308254378
month_6,0.001960279237664002
month_11,0.0017261929948559562
month_10,0.0008668684752186921
month_9,0.0002042525248590494
