index,importance
fire_200_400,0.21678050213349395
fire_400_800,0.13025911173502283
fire_0_100,0.12821247625344892
fire_100_200,0.1273557611148362
month_1,0.09588643543912205
fire_800_900,0.06294541117228038
Wind_Speed(kmph),0.024682012498147
Humidity(%),0.022335365283908983
Temperature(C),0.021149896378184513
wind_S,0.018470752566897678
month_12,0.016238389886152185
month_11,0.012564630677375073
month_2,0.012096563450771222
month_4,0.011423473077522417
"time_of_day_[20, 22)",0.011382667014624587
wind_N,0.011227274882418235
month_3,0.011191000418570176
day_of_week,0.008686952883991343
month_7,0.007757294663276279
month_6,0.007712008275935343
month_5,0.007288102627332322
is_rain,0.007084271573385449
"time_of_day_[12, 14)",0.00641981273009034
"time_of_day_[18, 20)",0.004825545807857614
"time_of_day_[10, 12)",0.004148801645470758
"time_of_day_[22, 24)",0.003745608900705036
month_8,0.0017771973662796129
"time_of_day_[16, 18)",0.001626512390751465
"time_of_day_[8, 10)",0.001438315921793029
"time_of_day_[0, 2)",0.0010624697320907412
is_holiday,0.0009082065043360527
"time_of_day_[2, 4)",0.0007629495177329112
"time_of_day_[6, 8)",0.0005542254761953105
