index,importance
fire_100_200,0.23849545590335203
fire_200_400,0.18304727602384116
fire_0_100,0.17072951566764558
wind_E,0.0932397899868713
wind_N,0.05277358555364352
fire_400_600,0.046607097645765906
Humidity(%),0.03904942007149225
wind_W,0.026235951237845712
month_2,0.02507011297639146
Temperature(C),0.021861094973300993
"time_of_day_[12, 14)",0.013750925214516747
"time_of_day_[10, 12)",0.007521113407654291
"time_of_day_[6, 8)",0.007281982081367106
day_of_week,0.007211226126755279
wind_CALM,0.007108698952696231
is_weekend,0.0067880824575026885
"time_of_day_[0, 2)",0.006460106749301876
is_holiday,0.006388979805501736
month_1,0.006132963906966729
Wind_Speed(kmph),0.0059305825466244265
"time_of_day_[14, 16)",0.005776794958169447
"time_of_day_[4, 6)",0.005611058539320438
"time_of_day_[2, 4)",0.005116609546212802
"time_of_day_[16, 18)",0.0039169291260891
"time_of_day_[8, 10)",0.003232841202348952
wind_S,0.002155519304926917
"time_of_day_[22, 24)",0.0018550729787575227
"time_of_day_[18, 20)",0.0005497338616660571
"time_of_day_[20, 22)",0.0001014791934717444
month_3,0.0
month_12,0.0
