index,importance
fire_400_800,0.21343312490334657
fire_800_1000,0.1713188873623783
fire_200_400,0.10337819417963467
Wind_Speed(kmph),0.08909950681524546
fire_100_200,0.06792335530328347
Temperature(C),0.06150459742140503
Humidity(%),0.03881950898493355
is_rain,0.02909708269506937
month_8,0.023819450497757765
wind_S,0.0207463169235294
month_12,0.02002386278482899
wind_W,0.015035429657755082
month_3,0.014463775997057327
month_2,0.013303982755486998
wind_E,0.013160370161123768
month_1,0.013129173683056694
month_5,0.012567943971424135
month_4,0.01097244827972699
is_holiday,0.008651368748003159
month_6,0.008634766630478487
wind_N,0.008276936053621987
"time_of_day_[14, 16)",0.008111686135776657
"time_of_day_[16, 18)",0.007905286403272274
"time_of_day_[8, 10)",0.0054569581428668456
"time_of_day_[18, 20)",0.004898224478187427
"time_of_day_[20, 22)",0.004392395320952344
"time_of_day_[22, 24)",0.0043598821371927604
"time_of_day_[0, 2)",0.004055045351568635
"time_of_day_[10, 12)",0.0034604382210359315
