index,importance
fire_0_100,0.23879169186189794
fire_100_200,0.23562735586411687
fire_200_400,0.12861316393706873
fire_800_1000,0.07572601297038889
fire_400_800,0.06797935843538629
Wind_Speed(kmph),0.04802664025885626
Humidity(%),0.036576322945738524
Temperature(C),0.028634540783034363
wind_W,0.013643603872740377
is_rain,0.013215619261704803
wind_S,0.011884804016858512
wind_N,0.011270242907441016
month_4,0.010985274177064042
wind_E,0.01082488921097528
"time_of_day_[10, 12)",0.007699935853244091
month_3,0.007622877971797878
"time_of_day_[18, 20)",0.007313516423578577
wind_CALM,0.005891166204504384
"time_of_day_[8, 10)",0.005620137380922351
"time_of_day_[16, 18)",0.005108000827658055
month_10,0.0035405949781505924
"time_of_day_[12, 14)",0.0033676102783355686
is_weekend,0.0032997083070765124
month_12,0.0025201660405266813
"time_of_day_[14, 16)",0.0019211381913600703
"time_of_day_[22, 24)",0.0019110882853777564
month_5,0.0018863382032948605
"time_of_day_[20, 22)",0.0018784969605827122
"time_of_day_[6, 8)",0.0015261708802394116
is_holiday,0.0014544562341815418
month_7,0.001409438435373927
"time_of_day_[2, 4)",0.0011815072535765892
month_11,0.0009850247419368689
month_6,0.000847075676763871
"time_of_day_[4, 6)",0.0007096185877107764
month_9,0.00028738921057923166
month_8,0.0002190225699558604
