index,importance
wind_S,0.25443050810602785
fire_100_200,0.1631173947653922
wind_N,0.11367654794954611
fire_400_800,0.10861203384970844
Humidity(%),0.07578723436109758
Wind_Speed(kmph),0.051824414346499086
fire_200_400,0.039207392813849974
wind_E,0.03327443893370729
is_rain,0.02485037703773902
Temperature(C),0.02395315175109817
wind_W,0.015584734940033816
fire_800_1000,0.01313018726556965
wind_CALM,0.012105746881271352
fire_0_100,0.008364845657163278
"time_of_day_[10, 12)",0.007255213627366345
day_of_week,0.00668092681566555
month_11,0.006643126383152091
month_12,0.005786968373342144
"time_of_day_[8, 10)",0.005309420187045865
"time_of_day_[20, 22)",0.0050395251196301925
is_weekend,0.0036111150911967184
"time_of_day_[16, 18)",0.0035704350030667004
month_1,0.0032850034562003213
"time_of_day_[12, 14)",0.0026818731355928243
month_3,0.0022811666257036493
month_10,0.0021911583228045933
is_holiday,0.002168923135206488
month_5,0.0014217749675625793
month_2,0.0012501941125803884
"time_of_day_[6, 8)",0.0006990663691251623
"time_of_day_[22, 24)",0.0006348118973815085
month_4,0.0004999654911153949
month_6,0.0002951879764943762
"time_of_day_[14, 16)",0.00026567829785745955
"time_of_day_[0, 2)",0.00021340240873060306
month_9,0.00019377825275982083
month_8,0.00010227629171543248
