index,importance,imp_std
fire_100_200,0.15681570077335907,0.08371066669737645
fire_400_600,0.1323501634434672,0.08039564777406373
fire_200_400,0.12910574629617053,0.07315147129706975
fire_800_900,0.10502240077121933,0.022725006187134734
fire_600_800,0.09511905397211885,0.05335839865412459
fire_0_100,0.07207779860325592,0.03368617603732359
wind_S,0.06594749949054263,0.03667816142045219
traffic_index,0.046833700936646565,0.004127220845554926
Wind_Speed(kmph),0.04224876423837922,0.013490226765918914
wind_N,0.041383747143538485,0.028422846637745608
time_of_day,0.040157931519918574,0.004214463218462968
day_of_week,0.027451946102851708,0.002243606536723675
wind_E,0.013648566173925538,0.004047213773210712
wind_W,0.010916523094346035,0.007895451205485154
wind_CALM,0.008850918656388498,0.010704843307595392
is_weekend,0.006457139555913917,0.0012621166212415443
is_holiday,0.004197714674527758,0.0010532832775341783
is_rain,0.0014146845534302435,0.0009370569282173589
