index,importance
fire_100_200,0.23043548609719738
wind_S,0.15693550000658088
fire_200_400,0.09550482823232184
fire_400_600,0.09132453105318841
Wind_Speed(kmph),0.07152363990087085
wind_N,0.06891737926861717
fire_800_1000,0.06111878255797665
fire_600_800,0.03528658913505294
fire_0_100,0.032487374442492084
is_rain,0.031626175933091624
time_of_day,0.029473703575861904
wind_E,0.02187212821633828
traffic_index,0.019362898756116836
wind_CALM,0.0191108782472967
day_of_week,0.014547750132108765
wind_W,0.014415125673052176
is_weekend,0.003764845257664332
is_holiday,0.002292383514170966
